constituency_name,party,mp_name,category_2024,2024,category_2029,2029
Aberafan Maesteg,LAB,Stephen Kinnock,Non-religious majority,53.46591064468386,Non-religious majority,61.83959975665745
Aldershot,LAB,Alex Baker,Christian plurality,40.91241913692087,Non-religious plurality,45.735304522117474
Aldridge-Brownhills,CON,Wendy Morton,Christian majority,53.4504064789597,Christian plurality,44.91129135775051
Altrincham and Sale West,LAB,Connor Rand,Christian plurality,48.892457219371444,Christian plurality,40.97213872743817
Alyn and Deeside,LAB,Mark Tami,Christian plurality,49.84559261522072,Non-religious majority,50.86013863551649
Amber Valley,LAB,Linsey Farnsworth,Non-religious majority,50.355037430807336,Non-religious majority,59.23248843173161
Arundel and South Downs,CON,Andrew Griffith,Christian majority,53.01451590580769,Non-religious plurality,47.94968884048087
Ashfield,RFM,Lee Anderson,Non-religious majority,51.1018784504547,Non-religious majority,59.861563793599046
Ashford,LAB,Sojan Joseph,Christian plurality,44.41226307927999,Non-religious majority,50.51664367634881
Ashton-under-Lyne,LAB,Angela Rayner,Christian plurality,45.65674763060112,Non-religious plurality,43.99073215564407
Aylesbury,LAB,Laura Kyrke-Smith,Christian plurality,44.75897260162098,Non-religious plurality,43.12489751798248
Banbury,LAB,Sean Woodcock,Christian plurality,49.51884106282396,Non-religious plurality,46.56704062593533
Bangor Aberconwy,LAB,Claire Hughes,Christian plurality,47.56182168811466,Non-religious majority,51.536003764189545
Barking,LAB,Nesil Caliskan,Christian plurality,43.15958978972942,Christian plurality,36.92255430420928
Barnsley North,LAB,Dan Jarvis,Christian majority,50.274233092187494,Non-religious majority,53.421605787982976
Barnsley South,LAB,Stephanie Peacock,Christian plurality,48.66315577936593,Non-religious majority,55.14814471235125
Barrow and Furness,LAB,Michelle Scrogham,Christian majority,52.25388125209406,Non-religious plurality,49.48591451361377
Basildon and Billericay,CON,Richard Holden,Christian plurality,45.91473951790024,Non-religious majority,52.784351874240755
Basingstoke,LAB,Luke Murphy,Non-religious plurality,46.318777925705916,Non-religious majority,53.42408232835911
Bassetlaw,LAB,Jo White,Christian majority,53.70827395118174,Non-religious plurality,48.518322877061465
Bath,LDM,Wera Hobhouse,Non-religious majority,51.273884188639975,Non-religious majority,59.04871123987069
Battersea,LAB,Marsha de Cordova,Christian plurality,41.26507676060093,Non-religious plurality,45.11405613035804
Beaconsfield,CON,Joy Morrissey,Christian plurality,47.071425856388835,Christian plurality,39.84956145971712
Beckenham and Penge,LAB,Liam Conlon,Christian plurality,45.104051524023866,Non-religious plurality,46.98451371103275
Bedford,LAB,Mohammad Yasin,Christian plurality,46.06557882327913,Christian plurality,39.49892115809906
Bermondsey and Old Southwark,LAB,Neil Coyle,Non-religious plurality,40.37227783790493,Non-religious plurality,44.926323576210514
Bethnal Green and Stepney,LAB,Rushanara Ali,Muslim plurality,42.848006180582125,Muslim plurality,46.23357673986136
Beverley and Holderness,CON,Graham Stuart,Christian majority,51.87045557862425,Non-religious plurality,49.90452146329954
Bexhill and Battle,CON,Kieran Mullan,Christian plurality,49.79119237385901,Non-religious majority,50.47137484526713
Bexleyheath and Crayford,LAB,Daniel Francis,Christian plurality,48.70479705853432,Christian plurality,41.87059374834823
Bicester and Woodstock,LDM,Calum Miller,Christian plurality,49.457488665037765,Non-religious plurality,48.190826412591896
Birkenhead,LAB,Alison McGovern,Christian majority,51.604243352132904,Non-religious plurality,49.06200877282069
Birmingham Edgbaston,LAB,Preet Kaur Gill,Christian plurality,38.085913106474955,Non-religious plurality,34.481941377434254
Birmingham Erdington,LAB,Paulette Hamilton,Christian plurality,45.02075976574054,Christian plurality,37.60850838381839
Birmingham Hall Green and Moseley,LAB,Tahir Ali,Muslim majority,52.23539020175212,Muslim majority,57.308091041697985
Birmingham Hodge Hill and Solihull North,LAB,Liam Byrne,Muslim plurality,35.42995458495463,Muslim plurality,40.38095237222787
Birmingham Ladywood,LAB,Shabana Mahmood,Muslim plurality,46.75934639296447,Muslim majority,51.943710670469464
Birmingham Northfield,LAB,Laurence Turner,Christian plurality,45.40625363618321,Non-religious plurality,48.20330134003878
Birmingham Perry Barr,IND,Ayoub Khan,Muslim plurality,40.82201262075205,Muslim plurality,46.481487432299964
Birmingham Selly Oak,LAB,Alistair Carns,Non-religious plurality,38.91051319663145,Non-religious plurality,43.83808961703759
Birmingham Yardley,LAB,Jess Phillips,Muslim plurality,40.47442951587655,Muslim plurality,45.896608575304846
Bishop Auckland,LAB,Sam Rushworth,Christian majority,56.39046756287869,Non-religious plurality,47.508337673001435
Blackburn,IND,Adnan Hussain,Muslim plurality,45.0707806224678,Muslim plurality,49.57778681652298
Blackley and Middleton South,LAB,Graham Stringer,Christian plurality,49.54609793982164,Christian plurality,42.007480514963156
Blackpool North and Fleetwood,LAB,Lorraine Beavers,Christian majority,54.75576556727418,Non-religious plurality,47.93476287780735
Blackpool South,LAB,Chris Webb,Christian plurality,48.52241348734718,Non-religious majority,52.23369372859478
Blaenau Gwent and Rhymney,LAB,Nick Smith,Non-religious majority,58.21278688014518,Non-religious majority,65.91291483992487
Blaydon and Consett,LAB,Liz Twist,Christian majority,53.52019487371027,Non-religious majority,50.66178545118565
Blyth and Ashington,LAB,Ian Lavery,Christian plurality,47.70346333176727,Non-religious majority,55.412381240683715
Bognor Regis and Littlehampton,CON,Alison Griffiths,Christian majority,50.171487497092826,Non-religious majority,50.09107840755718
Bolsover,LAB,Natalie Fleet,Christian plurality,46.92958670266619,Non-religious majority,55.856893537522076
Bolton North East,LAB,Kirith Entwistle,Christian plurality,47.78847168248716,Christian plurality,39.220073440283635
Bolton South and Walkden,LAB,Yasmin Qureshi,Christian plurality,39.81940546862691,Non-religious plurality,33.7785269375957
Bolton West,LAB,Phil Brickell,Christian majority,53.8817055979265,Christian plurality,45.52391239462717
Bootle,LAB,Peter Dowd,Christian majority,63.11883433755124,Christian majority,55.65108092267843
Boston and Skegness,RFM,Richard Tice,Christian majority,56.576992275439274,Christian plurality,48.98711524023211
Bournemouth East,LAB,Tom Hayes,Christian plurality,45.88398841210805,Non-religious plurality,48.93604292519924
Bournemouth West,LAB,Jessica Toale,Non-religious plurality,46.72336508679319,Non-religious majority,53.6135610140506
Bracknell,LAB,Peter Swallow,Christian plurality,44.39024410153555,Non-religious majority,50.20122493350539
Bradford East,LAB,Imran Hussain,Muslim plurality,41.70737896944871,Muslim plurality,45.8192626091518
Bradford South,LAB,Judith Cummins,Christian plurality,37.32990066635233,Non-religious plurality,41.53297953739848
Bradford West,LAB,Naseem Shah,Muslim majority,56.36432963225898,Muslim majority,60.8280134405494
Braintree,CON,James Cleverly,Christian plurality,46.65378915933913,Non-religious majority,54.14006352562616
"Brecon, Radnor and Cwm Tawe",LDM,David Chadwick,Christian plurality,46.2723710328883,Non-religious majority,53.539363931573206
Brent East,LAB,Dawn Butler,Christian plurality,41.71337291007187,Christian plurality,38.7230135675151
Brent West,LAB,Barry Gardiner,Christian plurality,34.61510922351115,Christian plurality,33.14791704592393
Brentford and Isleworth,LAB,Ruth Cadbury,Christian plurality,38.673645062545056,Christian plurality,35.659364071772785
Brentwood and Ongar,CON,Alex Burghart,Christian majority,53.47346289389115,Christian plurality,46.39722221289864
Bridgend,LAB,Chris Elmore,Non-religious majority,50.948284678504585,Non-religious majority,59.35485847456643
Bridgwater,CON,Ashley Fox,Christian plurality,48.89368670764737,Non-religious majority,51.77585195277913
Bridlington and The Wolds,CON,Charlie Dewhirst,Christian majority,53.11743450590329,Non-religious plurality,48.48841693780221
Brigg and Immingham,CON,Martin Vickers,Christian majority,52.89936056284827,Non-religious plurality,48.90730629188134
Brighton Kemptown and Peacehaven,LAB,Chris Ward,Non-religious majority,53.77483193179762,Non-religious majority,60.68702923731587
Brighton Pavilion,GRN,Siân Berry,Non-religious majority,62.28855145468655,Non-religious majority,68.40815563909783
Bristol Central,GRN,Carla Denyer,Non-religious majority,60.891501425127046,Non-religious majority,66.83899704834786
Bristol East,LAB,Kerry McCarthy,Non-religious majority,51.19796596734423,Non-religious majority,57.41366450790763
Bristol North East,LAB,Damien Egan,Non-religious plurality,48.970353769080546,Non-religious majority,55.84178383346832
Bristol North West,LAB,Darren Jones,Non-religious majority,50.638502677245626,Non-religious majority,58.432288966459886
Bristol South,LAB,Karin Smyth,Non-religious majority,60.13106332142526,Non-religious majority,67.48666626627156
Broadland and Fakenham,CON,Jerome Mayhew,Christian plurality,48.60074899732613,Non-religious majority,53.27837366467393
Bromley and Biggin Hill,CON,Peter Fortune,Christian plurality,47.25381589614058,Non-religious plurality,45.739759846274026
Bromsgrove,CON,Bradley Thomas,Christian majority,52.4042542951596,Non-religious plurality,47.451019284662586
Broxbourne,CON,Lewis Cocking,Christian majority,51.50869291768567,Christian plurality,44.1134369676433
Broxtowe,LAB,Juliet Campbell,Non-religious plurality,48.90089235456851,Non-religious majority,56.962877976240364
Buckingham and Bletchley,LAB,Callum Anderson,Christian plurality,45.90762321115243,Non-religious plurality,45.90156003501249
Burnley,IND,Oliver Ryan,Christian plurality,44.69665105734168,Non-religious plurality,37.097538509426805
Burton and Uttoxeter,LAB,Jacob Collier,Christian plurality,48.91199612981442,Non-religious plurality,42.25993673186261
Bury North,LAB,James Frith,Christian majority,50.978155443081995,Christian plurality,42.576228512028855
Bury South,LAB,Christian Wakeford,Christian plurality,41.91931959589248,Non-religious plurality,35.47036567481764
Bury St Edmunds and Stowmarket,LAB,Peter Prinsley,Christian plurality,46.91502076155011,Non-religious majority,53.55454291205694
Caerfyrddin,PC,Ann Davies,Christian plurality,49.084764689137906,Non-religious majority,51.600267911340744
Caerphilly,LAB,Chris Evans,Non-religious majority,56.72426409600059,Non-religious majority,65.0878554192236
Calder Valley,LAB,Josh Fenton-Glynn,Non-religious plurality,48.1015893033526,Non-religious majority,56.61989747559314
Camborne and Redruth,LAB,Perran Moon,Non-religious majority,50.35660524177937,Non-religious majority,58.88556978082007
Cambridge,LAB,Daniel Zeichner,Non-religious plurality,47.38633077201545,Non-religious majority,51.109769120928576
Cannock Chase,LAB,Josh Newbury,Christian majority,51.69968202737686,Non-religious majority,51.21121853729904
Canterbury,IND,Rosie Duffield,Christian plurality,44.28520740682577,Non-religious majority,50.687009452978195
Cardiff East,LAB,Jo Stevens,Non-religious plurality,44.97660498512474,Non-religious majority,50.78134393054084
Cardiff North,LAB,Anna McMorrin,Non-religious plurality,45.48895922923701,Non-religious majority,52.395605664899634
Cardiff South and Penarth,LAB,Stephen Doughty,Non-religious plurality,45.91025252417294,Non-religious majority,51.22846697617563
Cardiff West,LAB,Alex Barros-Curtis,Non-religious plurality,47.20084245624992,Non-religious majority,53.621720442578244
Carlisle,LAB,Julie Minns,Christian majority,51.154877322604406,Non-religious majority,50.06942404747523
